BoardNet	N	FPGANet	IOSTANDARD	LOC	SLEW	Other	Notes		
DIO[82]	82	dig_IO<58>	LVCMOS33	J17			DigIO Programmable		
DIO[83]	83	dig_IO<59>	LVCMOS33	J16			DigIO Programmable		
DIO[84]	84	dig_IO<60>	LVCMOS33	K22			DigIO Programmable		
DIO[85]	85	dig_IO<61>	LVCMOS33	K21			DigIO Programmable		
DIO[86]	86	dig_IO<62>	LVCMOS33	K20			DigIO Programmable		
DIO[87]	87	dig_IO<63>	LVCMOS33	K19			DigIO Programmable		
DIO[88]	88	dig_IO<64>	LVCMOS33	K18			DigIO Programmable		
DIO[89]	89	dig_IO<65>	LVCMOS33	K17			DigIO Programmable		
DIO[90]	90	dig_IO<66>	LVCMOS33	K16			DigIO Programmable		
DIO[91]	91	dig_IO<67>	LVCMOS33	L22			DigIO Programmable		
DIO[92]	92	dig_IO<68>	LVCMOS33	L20			DigIO Programmable		
DIO[93]	93	dig_IO<69>	LVCMOS33	L19			DigIO Programmable		
DIO[94]	94	dig_IO<70>	LVCMOS33	L17			DigIO Programmable		
DIO[95]	95	dig_IO<71>	LVCMOS33	L15			DigIO Programmable		
DIO[96]	96	dig_IO<72>	LVCMOS33	M22			DigIO Programmable		
DIO[97]	97	dig_IO<73>	LVCMOS33	M21			DigIO Programmable		
DIO[98]	98	dig_IO<74>	LVCMOS33	M20			DigIO Programmable		
DIO[99]	99	dig_IO<75>	LVCMOS33	M19			DigIO Programmable		
DIO[100]	100	dig_IO<76>	LVCMOS33	M18			DigIO Programmable		
DIO[101]	101	dig_IO<77>	LVCMOS33	M17			DigIO Programmable		
DIO[102]	102	dig_IO<78>	LVCMOS33	M16			DigIO Programmable		
DIO[103]	103	dig_IO<79>	LVCMOS33	N22			DigIO Programmable		
DIO[104]	104	dig_IO<80>	LVCMOS33	N20			DigIO Programmable		
DIO[105]	105	dig_IO<81>	LVCMOS33	N19			DigIO Programmable		
DIO[106]	106	dig_IO<82>	LVCMOS33	N16			DigIO Programmable		
DIO[107]	107	dig_IO<83>	LVCMOS33	P22			DigIO Programmable		
DIO[108]	108	dig_IO<84>	LVCMOS33	P21			DigIO Programmable		
DIO[109]	109	dig_IO<85>	LVCMOS33	P20			DigIO Programmable		
DIO[110]	110	dig_IO<86>	LVCMOS33	P19			DigIO Programmable		
DIO[111]	111	dig_IO<87>	LVCMOS33	P18			DigIO Programmable		
DIO[112]	112	dig_IO<88>	LVCMOS33	P17			DigIO Programmable		
DIO[113]	113	dig_IO<89>	LVCMOS33	R22			DigIO Programmable		
DIO[114]	114	dig_IO<90>	LVCMOS33	R20			DigIO Programmable		
DIO[115]	115	dig_IO<91>	LVCMOS33	R19			DigIO Programmable		
DIO[116]	116	dig_IO<92>	LVCMOS33	T22			DigIO Programmable		
DIO[117]	117	dig_IO<93>	LVCMOS33	T21			DigIO Programmable		
DIO[118]	118	dig_IO<94>	LVCMOS33	T20			DigIO Programmable		
DIO[119]	119	dig_IO<95>	LVCMOS33	U19			DigIO Programmable		
DIO_DIR[0]	0	dig_Dir<0>	LVCMOS33	D1			DigIO		
DIO_DIR[1]	1	dig_Dir<1>	LVCMOS33	D2			DigIO		
DIO_DIR[2]	2	dig_Dir<2>	LVCMOS33	D3			DigIO		
DIO_DIR[3]	3	idx_BufDir<0>	LVCMOS33	E1			Hard coded for Indexer Output		
DIO_DIR[4]	4	idx_BufDir<1>	LVCMOS33	E3			Hard coded for Indexer Output		
DIO_DIR[5]	5	idx_BufDir<2>	LVCMOS33	E4			Hard coded for Indexer Input		
DIO_DIR[6]	6	idx_BufDir<3>	LVCMOS33	E5			Hard coded for Indexer Input		
DIO_DIR[7]	7	dig_Dir<4>	LVCMOS33	E6			DigIO		
DIO_DIR[8]	8	dig_Dir<5>	LVCMOS33	U20			DigIO		
DIO_DIR[9]	9	dig_Dir<6>	LVCMOS33	U22			DigIO		
DIO_DIR[10]	10	dig_Dir<7>	LVCMOS33	V20			DigIO		
DIO_DIR[11]	11	dig_Dir<8>	LVCMOS33	V21			DigIO		
DIO_DIR[12]	12	dig_Dir<9>	LVCMOS33	V22			DigIO		dig_Dir<12>
DIO_DIR[13]	13	dig_Dir<10>	LVCMOS33	W20			DigIO		dig_Dir<13>
